,SchoolID,CNTSTUID,PV1MATH,Female,PV1READ,ESCS,PARED,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,CULTPOSS,HEDRES,WEALTH,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF,ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,ST161Q01HA,ST161Q02HA,ST161Q03HA,ST161Q06HA,ST161Q07HA,ST161Q08HA,ST184Q01HA,ST186Q05HA,ST186Q06HA,ST186Q07HA,ST186Q10HA,ST186Q09HA,ST186Q02HA,ST186Q01HA,ST186Q08HA,ST186Q03HA,STAFFSHORT,TEACHBEHA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,Public
11,84000001,CNTSTUID,429.272,Female,409.626,-1.0266,12,-0.18,-0.3253,-0.311,0.5464,0.1744,-0.8067,-1.5532,0.6319,0.3875,-0.1542,-0.6583,-0.2661,-1.034,-0.687,-0.3121,1.2386,-0.4684,-0.8444,-0.3184,-0.4089,0.5082,1.2958,3,2,2,2,2,3,2,3,2,2,3,2,4,3,3,2,4,3,4,2,4,0.8307,0.6015,8,45,57,18,30,1
12,84000001,CNTSTUID,456.49,Female,435.484,0.8527,16,-1.72,-1.256,0.4546,2.0073,1.3209,0.6529,-0.4903,1.4211,1.2943,0.8628,1.0844,0.1956,0.487,0.8794,0.2621,1.2386,-0.0614,0.5761,0.6818,-0.4089,0.409,0.2705,2,3,3,1,2,3,2,3,2,3,2,3,4,3,3,3,4,2,4,3,4,0.8307,0.6015,8,45,57,18,30,1
13,84000001,CNTSTUID,343.255,Male,327.995,-1.3764,12,-1.72,-0.6555,-1.3088,-0.5786,0.1744,-0.5925,-0.5492,-0.6447,-0.8992,-0.7553,-1.4136,0.1956,-1.3692,0.1097,0.9759,-0.5928,-0.4909,-0.4347,-0.6843,-0.849,0.5082,0.2705,4,2,2,3,4,2,3,2,2,2,3,3,3,2,3,3,2,2,3,3,3,0.8307,0.6015,8,45,57,18,30,1
14,84000001,CNTSTUID,564.607,Male,630.163,0.0578,14,0.98,0.5121,-0.4269,-0.0791,-1.0615,0.086,-1.2263,0.6708,0.135,0.2694,1.0844,1.1811,0.5693,-0.4342,-0.9827,-0.5928,-0.0328,-0.8444,-0.4509,0.1222,-0.0697,-0.6346,2,2,3,2,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,3,3,0.8307,0.6015,8,45,57,18,30,1
15,84000001,CNTSTUID,604.471,Male,693.591,0.4372,16,0.98,2.0165,-0.8302,2.0073,1.8245,0.6527,-1.5216,-0.9272,-1.2275,1.7513,-2.5375,2.0054,-0.1015,-1.8939,1.0763,1.2386,1.6219,6.00E-04,-3.2367,1.8839,-1.8876,-1.272,1,4,3,1,1,4,4,4,1,1,1,2,4,2,4,2,4,1,4,2,4,0.8307,0.6015,8,45,57,18,30,1
16,84000001,CNTSTUID,471.03,Male,541.39,0.5528,16,0.21,-0.0363,-0.2539,2.0073,1.3209,-0.1429,-0.6853,0.1653,0.1581,-0.2704,1.0844,0.7871,-0.1015,-1.4242,1.7411,0.7301,0.7872,1.4751,2.7249,0.6632,-0.0697,0.2705,3,2,2,2,3,3,4,3,2,2,2,2,4,2,3,1,3,2,4,2,3,0.8307,0.6015,8,45,57,18,30,1
17,84000001,CNTSTUID,533.127,Male,465.867,-0.8931,12,-1.72,-1.023,-0.497,0.1941,1.8245,-0.6637,1.1793,-0.0478,-0.4238,-2.7114,-0.6583,1.1811,0.5693,1.8905,0.9759,0.1869,0.7872,0.0337,-0.672,-0.4419,-0.215,0.7192,4,1,1,4,4,3,3,2,3,2,1,3,4,2,3,1,3,1,3,2,3,0.8307,0.6015,8,45,57,18,30,1
18,84000001,CNTSTUID,595.642,Female,639.169,0.4936,16,-1.72,2.0165,0.3779,0.7397,-0.2934,0.8433,-0.1357,0.1858,-0.14,0.5405,1.0844,1.1811,1.1448,0.4637,1.7411,1.2386,1.6219,0.8753,2.7249,1.8839,-1.126,-1.272,2,2,4,2,2,4,4,4,1,2,1,1,4,2,4,2,4,2,4,3,4,0.8307,0.6015,8,45,57,18,30,1
19,84000001,CNTSTUID,702.416,Female,774.944,0.507,16,0.98,-1.6391,0.503,-0.166,1.8245,0.597,1.1793,0.6418,-0.1536,1.0123,1.0844,0.7871,1.1448,-0.687,1.7411,1.2386,1.1497,1.8524,0.3241,0.1222,-0.524,-0.7816,2,3,3,1,1,3,3,3,1,2,2,2,4,2,4,2,4,2,4,2,4,0.8307,0.6015,8,45,57,18,30,1
20,84000001,CNTSTUID,542.92,Male,607.722,0.1852,16,0.98,-0.6555,-0.6939,-0.1687,-0.6413,-0.0469,-0.6122,-0.2465,-0.6068,1.3468,0.0281,-0.2661,-1.071,0.4637,1.348,0.1869,0.0501,-0.6632,-0.0599,0.8214,0.5371,-1.272,1,4,2,1,1,4,3,3,1,3,3,1,4,2,3,3,2,2,3,3,3,0.8307,0.6015,8,45,57,18,30,1
21,84000001,CNTSTUID,459.532,Female,548.616,-0.5182,12,0.59,0.7743,0.5669,-0.9282,-0.8687,0.9094,1.1793,0.3624,0.2214,2.6131,1.0844,2.0054,1.1448,0.4637,-0.3121,-0.5928,-0.0614,-0.094,-1.4674,0.8214,-1.0064,0.2705,1,4,4,1,1,4,3,3,1,1,2,1,3,2,3,3,3,3,3,3,3,0.8307,0.6015,8,45,57,18,30,1
22,84000001,CNTSTUID,284.676,Female,350.353,-1.4274,12,-0.57,0.7743,-1.4933,-0.5786,1.8245,-0.0079,0.0477,-1.4449,-1.146,-0.6185,1.0844,-2.345,-0.1015,-1.4242,0.2621,-1.1176,-0.4171,0.4449,-0.7805,-1.6796,1.2978,3.0064,4,1,1,1,1,2,1,1,4,1,4,3,3,3,4,2,2,3,3,3,2,0.8307,0.6015,8,45,57,18,30,1
23,84000001,CNTSTUID,361.376,Female,368.753,-1.0655,12,-1.72,-0.6555,-1.0607,-0.1687,1.2662,0.2919,-2.6475,-0.1717,-0.8794,-0.0339,1.0844,-0.733,-1.034,0.4637,1.1963,0.7301,0.4152,-0.094,-0.1843,0.1222,0.409,0.2705,2,2,3,3,3,3,3,3,2,3,2,1,4,3,3,2,3,4,4,3,3,0.8307,0.6015,8,45,57,18,30,1
24,84000001,CNTSTUID,660.261,Male,745.617,1.1331,16,-0.18,0.0728,0.8093,0.1067,0.2984,0.9876,0.0477,0.5199,0.2111,0.2846,1.0844,1.1811,1.8164,-1.4869,1.7411,-0.5928,0.7877,1.8524,-0.3184,1.8839,-0.524,-1.272,2,3,1,1,2,4,4,4,1,2,2,1,3,2,2,2,3,2,3,2,3,0.8307,0.6015,8,45,57,18,30,1
25,84000001,CNTSTUID,523.436,Female,478.53,-0.9282,12,0.59,-0.3253,0.0893,-0.5786,0.1744,-0.5925,1.1793,1.3744,1.2943,-0.5753,1.0844,-1.1146,-0.1015,-0.4342,1.7411,1.2386,1.1651,1.8524,0.0595,-0.849,1.2421,0.2705,3,2,2,3,4,2,3,2,3,3,3,4,4,3,4,2,4,2,4,2,4,0.8307,0.6015,8,45,57,18,30,1
26,84000001,CNTSTUID,393.741,Male,390.764,1.2168,16,-0.18,0.9044,0.9572,-0.2608,0.7429,0.5359,0.0477,1.1154,2.6563,1.0781,1.0844,2.0054,1.8164,-1.4869,0.9269,1.2386,2.3693,1.4751,-0.7156,0.6632,0.795,-0.1632,1,3,3,1,2,3,4,3,3,3,2,1,4,2,3,3,4,2,4,3,4,0.8307,0.6015,8,45,57,18,30,1
27,84000001,CNTSTUID,561.652,Male,602.006,-0.4303,14,-0.57,1.5844,-1.8476,2.0073,-1.4401,-1.8691,-1.4682,-0.8343,-1.2275,-0.5262,1.0844,1.2643,1.8164,-1.2319,0.2621,0.7301,2.3693,1.8524,-0.6913,-0.7642,1.2421,0.2705,3,2,1,2,3,3,3,1,3,3,3,1,4,1,4,1,4,1,4,1,3,0.8307,0.6015,8,45,57,18,30,1
28,84000001,CNTSTUID,549.82,Male,487.69,7.00E-04,12,0.98,0.5121,-0.1715,-1.0504,-0.2934,0.2791,1.1793,-0.1368,-0.1536,-0.4423,0.0281,2.0054,1.8164,-1.059,0.2621,-1.8489,1.1546,0.1123,-0.4415,1.2374,-0.524,0.2705,2,1,2,2,3,4,3,4,1,2,2,3,2,1,3,1,3,1,2,1,2,0.8307,0.6015,8,45,57,18,30,1
29,84000002,CNTSTUID,447.076,Female,447.867,-0.0828,16,-1.72,-1.6391,0.0233,-2.2652,0.3684,0.5135,1.1793,0.4485,-0.044,-0.4389,1.0844,-0.8441,1.8164,-0.0845,0.9759,1.2386,2.3693,1.8524,-0.6659,0.8214,0.8207,1.6524,4,2,2,2,3,4,3,3,2,4,2,4,4,3,4,2,4,2,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
30,84000002,CNTSTUID,440.54,Male,451.385,0.3575,16,-1.72,0.7743,-1.1288,2.0073,0.1744,-0.6637,-1.1443,-0.245,-0.3918,0.1372,1.0844,0.1956,-0.1015,0.4637,1.7411,-0.5928,2.3693,1.8524,-1.2605,0.1222,1.2421,1.6524,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,4,1,3,2,3,1.0953,-0.1274,1,15,25,1,1,1
31,84000002,CNTSTUID,363.223,Male,340.74,-0.3742,16,-0.95,2.0165,-1.9191,2.0073,1.8245,-1.8691,-0.9302,-1.0148,-1.6927,0.2641,-1.6258,2.0054,1.8164,1.8905,1.7411,1.2386,2.3693,1.8524,-0.1769,1.8839,2.7752,-1.272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0953,-0.1274,1,15,25,1,1,1
32,84000002,CNTSTUID,375.564,Female,315.243,-0.1203,16,-1.72,2.0165,-1.2074,0.4572,-0.2934,-0.0469,-0.9386,-0.5638,-0.8794,-1.1285,1.0844,0.1956,-0.1015,-0.687,-0.9827,1.2386,-0.0614,0.5761,-0.9879,0.1222,1.2421,0.2705,4,1,1,2,3,3,3,3,3,3,3,3,4,2,4,1,4,2,4,2,4,1.0953,-0.1274,1,15,25,1,1,1
33,84000002,CNTSTUID,394.254,Female,381.238,-0.2749,12,-0.95,0.5121,-0.1541,-0.5786,-0.2934,-0.1909,0.7604,0.312,-0.1255,-0.6278,1.0844,-0.733,-0.6545,-1.8939,1.7411,0.5012,0.7396,0.5761,-0.6869,-0.825,0.795,0.9672,4,2,2,3,3,2,2,3,3,3,2,2,4,3,4,2,3,2,3,3,4,1.0953,-0.1274,1,15,25,1,1,1
34,84000002,CNTSTUID,393.366,Female,449.221,0.5906,14,0.21,-0.3253,0.2824,-0.5786,0.1744,0.1956,1.1793,0.3698,0.5236,0.2694,0.4626,-0.4112,0.0273,-0.687,0.2621,-1.1176,-0.0614,6.00E-04,-1.1736,0.1222,2.7752,0.2705,2,2,3,2,2,3,3,3,4,4,4,4,3,2,3,3,3,2,3,3,2,1.0953,-0.1274,1,15,25,1,1,1
35,84000002,CNTSTUID,335.058,Female,393.761,-0.4406,16,-1.72,0.7743,-0.1995,-0.1687,0.1744,-0.306,0.7604,-0.1237,0.3145,-0.2704,1.0844,0.1956,-0.7233,-0.2006,-0.9827,-0.5928,-0.0614,-0.4347,-0.7814,0.1222,1.2421,-0.6346,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0953,-0.1274,1,15,25,1,1,1
36,84000002,CNTSTUID,513.758,Female,648.591,-0.0028,16,0.59,2.0165,-0.2314,2.0073,1.8245,0.086,-1.1443,0.8852,-0.0154,1.3468,1.0844,-0.8865,1.1448,-1.2792,-1.0946,-0.5928,0.6769,1.8524,2.7249,1.8839,-1.8876,-1.272,1,4,2,1,1,4,4,4,1,1,1,1,3,3,3,2,3,2,3,3,3,1.0953,-0.1274,1,15,25,1,1,1
